Address,Beds,Baths,Price,Square Foot,Suggested Price
"Corban Plan in The Collection at East Lake, Atlanta, GA 30316",3bd,3ba,475200,1978,647003.31
"185 Trowbridge Rd, Sandy Springs, GA 30350",6bd,4ba,875000,3123,1021532.52
"4013 Avalon Rd   SW, Atlanta, GA 30331",3bd,3ba,260000,1440,471023.64
"Darwin Plan in The Villages at Oakshire, Atlanta, GA 30354",3bd,3ba,326940,1749,572097.46
"6802 Glenridge Dr #H, Sandy Springs, GA 30328",2bd,2ba,299900,1320,431771.67
"3982 Wolcott Cir, Doraville, GA 30340",2bd,3ba,248000,1470,480836.63
"2030 Main St   NW #503, Atlanta, GA 30318",4bd,4ba,519990,2148,702610.26
"4449 Kellogg Cir, Atlanta, GA 30338",5bd,4ba,824900,2786,911299.9
"132 Hillside Ave SE, Atlanta, GA 30315",4bd,4ba,600000,2700,883169.32
"821 Peyton Ave NW, Atlanta, GA 30318",3bd,3ba,425000,1730,565882.57
"Bellamy Plan in Park Vue, Atlanta, GA 30318",2bd,3ba,459710,1590,520088.6
"3126 Meadowstone Ln SW, Atlanta, GA 30331",3bd,3ba,310000,1336,437005.27
"2 Bedroom ; 2 Bathroom Plan in Moreland Walk, Atlanta, GA 30316",2bd,2ba,339000,1105,361445.22
"792 Magna Carta Dr NW, Atlanta, GA 30318",3bd,2ba,185000,1094,357847.13
"1753 Kellogg Springs Dr, Atlanta, GA 30338",4bd,3ba,690000,3034,992420.64
"2555 Flat Shoals Rd   #2204, Atlanta, GA 30349",3bd,3ba,266000,1612,527284.8
"170 Boulevard SE #H308, Atlanta, GA 30312",1bd,1ba,385000,1269,415089.58
"1372 Wichita Dr SW, Atlanta, GA 30311",3bd,1ba,215000,1039,339856.64
"2604 Campbellton Rd   SW #A5, Atlanta, GA 30311",2bd,3ba,174999,1728,565228.37
"8 Johnson Rd NW, Atlanta, GA 30318",3bd,2ba,329000,1940,634573.51
"4056 Ashford Dunwoody Rd   NE, Atlanta, GA 30319",4bd,5ba,1299000,4300,1406528.92
"Hayden Plan in The Villages at Oakshire, Atlanta, GA 30354",5bd,3ba,354990,2511,821347.47
"3201 Lenox Rd   NE #23, Atlanta, GA 30324",2bd,2ba,310000,1249,408547.59
"585 McWilliams Rd   SE #505, Atlanta, GA 30315",3bd,3ba,300000,1368,447472.46
"1208 N  Decatur Rd, Atlanta, GA 30306",Studio,Undisclosed,325000,6000,1962598.5
"5603 Woodsong Trl, Atlanta, GA 30338",4bd,3ba,720000,2292,749712.63
"390 17th St   NW #4030, Atlanta, GA 30363",1bd,1ba,245900,868,283922.58
"795 Hammond Dr #2305, Sandy Springs, GA 30328",2bd,2ba,319000,1309,428173.57
"HAYDEN Plan in Glen at Cascading Palms, Atlanta, GA 30331",5bd,3ba,403990,2511,821347.47
"1895 Thomasville Dr SE, Atlanta, GA 30315",4bd,2ba,295000,983,321539.05
"3765 Village Dr SW, Atlanta, GA 30331",4bd,3ba,430000,2217,725180.15
"846 Hargis St SE, Atlanta, GA 30315",3bd,3ba,310000,1976,646349.11
"2356 Johnson Rd   NE, Atlanta, GA 30345",3bd,3ba,315000,1600,523359.6
"115 Biscayne Dr   NW #E4, Atlanta, GA 30309",3bd,2ba,265000,1300,425229.67
"115 Biscayne Dr   NW #A12, Atlanta, GA 30309",3bd,2ba,300000,1300,425229.67
"1748 Devon Dr   SW #33, Atlanta, GA 30311",2bd,3ba,225000,1328,434388.47
"Avery Plan in Ten29 West, Atlanta, GA 30318",3bd,4ba,700000,2294,750366.83
"Strozzi Plan in Reverie on Cumberland, Atlanta, GA 30339",4bd,4ba,899900,3155,1031999.71
"369 Delevan St SW, Atlanta, GA 30310",3bd,3ba,525000,2400,785039.4
"215 Semel Cir  #460, Atlanta, GA 30309",2bd,3ba,375000,1281,419014.78
"3675 Peachtree Rd NE #29, Atlanta, GA 30319",2bd,2ba,330000,1090,356538.73
"549 Pryor St SW, Atlanta, GA 30312",3bd,3ba,225000,1392,455322.85
"Briarcliff Plan in Altus at The Quarter, Atlanta, GA 30318",2bd,3ba,557990,2092,684292.68
"Hartsfield Plan in Hawthorne Station, Atlanta, GA 30337",4bd,3ba,353900,2066,675788.08
"Wallace Plan in Woodland Preserve, Atlanta, GA 30339",4bd,4ba,816990,3239,1059476.09
"1895 Markone St NW, Atlanta, GA 30318",2bd,1ba,249999,1056,345417.34
"3379 Bellbuckle Ln, Atlanta, GA 30331",4bd,3ba,436239,2080,680367.48
"4826 Elm Leaf Dr, Atlanta, GA 30331",4bd,3ba,420999,2089,683311.38
"607 Enterkin Ct   #9, Atlanta, GA 30349",4bd,3ba,350000,2278,745133.23
"1160 Aurora Ct, Atlanta, GA 30338",5bd,4ba,649000,2890,945318.28
"1006 Burns Dr SW, Atlanta, GA 30310",4bd,2ba,299999,1595,521724.1
"1662 Florence Run  NW #79, Atlanta, GA 30318",3bd,3ba,424900,1362,445509.86
"175 Lost Springs Ln SW, Atlanta, GA 30331",3bd,3ba,260000,2613,854711.65
"1160 Windsor Pkwy #5, Sandy Springs, GA 30319",3bd,3ba,485000,1714,560648.97
"6921 Cedar Run  #22, Atlanta, GA 30350",3bd,3ba,430375,1972,645040.71
"Hutton Plan in Altus at The Quarter, Atlanta, GA 30318",3bd,3ba,599990,2349,768357.31
